unique_satellite_id,predicted_gateway,actual_gateway_id,assigned_cells,actual_cell_ids
181,31,30,"[10, 103, 211, 225, 237, 457, 581, 606, 625, 685, 814, 823, 955, 1157, 1172, 1220, 1610, 1665, 1806, 2045, 2058, 2069, 2092, 2124, 2250, 2252, 2348]","[2366, 2418, 2441, 2473, 2498, 2537, 2592, 2602, 2625, 2627, 2629, 2760, 2774, 2796, 2835, 2856, 2870, 2902, 2962, 2966, 3261, 3501, 3542, 3702, 3814, 3821, 3825, 3864, 3877, 3922, 3994, 3998, 4059, 4137, 4155, 4236, 4304, 4521, 4551, 4552, 4568]"
182,48,48,"[3010, 3016, 3085, 3087, 3114, 3190, 3441, 3601, 3602, 3660, 3700, 3763, 3901]","[183, 281, 292, 642, 709, 852, 906, 1027, 1252, 1442, 1532, 2127, 2328, 2626, 2907, 3114, 3512, 3624, 3697, 4157]"
202,23,23,"[22, 32, 56, 62, 115, 159, 285, 362, 559, 587, 643, 669, 684, 859, 938, 1039, 1072, 1154, 1210, 1232, 1275, 1297, 1299, 1303, 1306]","[115, 146, 159, 676, 793, 1039, 1210, 1533, 1651, 1678, 1721, 1790, 1792, 1819, 1859, 1953, 2106, 2171, 2647, 2663, 2904, 3269, 3662, 3761, 3827, 4076, 4265, 4330]"
203,46,8,"[15, 43, 70, 88, 104, 177, 188, 196, 200, 204, 231, 258, 280, 299, 391, 396, 446, 510, 515, 560, 603, 639, 673, 702, 706, 803, 815, 816, 825, 829, 885, 887, 934, 940, 943, 970, 981, 1022, 1029, 1091, 1102, 1159, 1197, 1226, 1239, 1301, 1406, 1479, 1627, 1707, 1802, 1823, 1891, 1951, 1955, 2002, 2080, 2167, 2192, 2276, 2316, 2326, 2393, 2457, 2467, 2470]","[128, 369, 600, 827, 890, 1005, 1262, 1433, 1639, 1787, 2010, 2331, 2714, 2715, 2848, 2913, 2938, 2976, 3007, 3031, 3066, 3079, 3089, 3125, 3262, 3411, 3438, 3456, 3540, 3621, 3633, 3759, 3868, 3905, 3923, 4289, 4438, 4442, 4511, 4527, 4545, 4564]"
205,28,28,[],"[1757, 1822, 2644, 2852, 3763, 3806, 4390]"
225,7,7,[],"[94, 662, 817, 1168, 1343, 1572, 1674, 1783, 1838, 2133, 2168, 2514, 2578, 3308, 3547, 3606, 4016, 4043, 4392, 4525, 4541]"
226,21,5,"[2104, 2153, 2244, 2292, 2298, 2314, 2350, 2371, 2416, 2555, 2569, 2590, 2596, 2606, 2642, 2678, 2731, 2760, 2870, 2895, 2927, 2947, 3002, 3130, 3146, 3149, 3170, 3181, 3196, 3231, 3236, 3294, 3326, 3341, 3399, 3423, 3426, 3435]","[2, 99, 127, 158, 387, 605, 667, 1030, 1196, 1852, 2541, 2616, 2622, 2908, 2953, 2956, 2990, 3267, 3345, 3360, 3371, 3665, 3849, 4009, 4023, 4457, 4478, 4498, 4504]"
227,19,28,"[210, 267, 275, 297, 364, 373, 386, 388, 401, 714, 806, 841, 843, 849, 878, 967, 985, 1035, 1042, 1105, 1112, 1125, 1136, 1305, 1319, 1367, 1374, 1383, 1523, 1596, 1641, 1686, 1797, 1837, 1854, 1860, 1872, 2031, 2120, 2149, 2178, 2283, 2285, 2345, 2689, 2706, 2735, 3028, 3030, 3059, 3139, 3205, 3289, 3478, 3495, 3529, 3615, 3639, 3661, 3669, 3787, 3873, 3886, 3945, 4052, 4162, 4302, 4303, 4356, 4369, 4406, 4435, 4440, 4482, 4484]","[61, 851, 2741, 2972, 3601, 3901]"
228,28,28,[],"[261, 672, 1398, 1808, 2129, 3087, 3911]"
248,49,49,"[81, 84, 146, 168, 236, 247, 257, 310, 424, 469, 471, 519, 793, 818, 1000, 1003, 1006, 1230, 1281, 1352, 1405, 1413, 1456, 1504, 1551, 1632, 1651, 1678, 1721, 1781, 1801, 1876, 1936, 2003, 2017, 2135, 2177, 2188]","[36, 126, 142, 151, 431, 450, 471, 568, 741, 757, 886, 962, 1003, 1006, 1097, 1230, 1281, 1431, 1456, 1464, 1504, 1577, 1786, 2008, 2017, 2065, 2085, 2138, 2188, 2206, 2224, 2241, 2286, 2296, 2305, 2357, 2406, 2414, 2445, 2694, 2765]"
