unique_satellite_id,predicted_gateways,actual_gateway_id,assigned_cells,actual_cell_ids
189,"[0, 1]",30,"[1827, 1880, 1764]","[3, 10, 103, 166, 175, 225, 237, 238, 266, 390, 404, 457, 494, 520, 563, 581, 606, 625, 685, 751, 814, 823, 1172, 1307, 1453, 1470, 1505, 1580, 1590, 1610, 1623, 1665, 1695, 1806, 2045, 2069, 2092, 2170, 2250, 2252, 2314, 2348, 2366, 2418, 2441, 2473, 2498, 2537, 2590, 2592, 2602, 2625, 2627, 2629, 2678, 2760, 2774, 2796, 2856, 2870, 2902, 2962, 2966, 3261, 3294, 3501, 3542, 3609, 3702, 3814, 3821, 3825, 3864, 3877, 3922, 3994, 3998, 4059, 4137, 4155, 4236, 4304, 4521, 4551, 4552, 4568]"
190,"[0, 1]",28,"[1894, 1928, 1772]","[349, 384, 675, 2060, 3087, 3354, 3806, 4092, 4119]"
210,"[0, 1]",7,"[2007, 2028, 1822]","[2133, 2135, 2168, 2177, 2308, 2329, 2341, 2509, 2514, 2578, 2609, 2860, 2960, 3041, 3080, 3128, 3156, 3159, 3254, 3308, 3349, 3431, 3499, 3500, 3547, 3606, 3900, 4016, 4043, 4121, 4146, 4260, 4308, 4392, 4417, 4456, 4476, 4487, 4525, 4536, 4541]"
211,"[0, 1]",40,"[2029, 2038, 1904]","[149, 382, 628, 630, 1053, 1199, 1242, 1435, 1521, 1545, 1567, 1761, 2272, 3222, 3391, 3433, 3455, 3457, 3745, 4000, 4359]"
213,"[0, 1]",28,"[2063, 2097, 2012]","[229, 447, 908, 1557, 1624, 2812, 3010, 3901, 3911, 4181]"
233,"[0, 1]",23,"[2110, 2207, 2127]","[63, 236, 363, 424, 542, 676, 734, 1093, 1096, 1306, 1413, 1481, 1537, 1605, 1721, 1801, 1819, 1859, 2209, 2222, 2387, 2454, 2481, 2566, 2582, 2663, 2707, 2873, 3014, 3083, 3207, 3269, 3280, 3300, 3357, 3460, 3584, 3718, 3819, 3966, 4031, 4203, 4265, 4336, 4383, 4453, 4489, 4532]"
234,"[0, 1]",6,"[2267, 2310, 2131]","[31, 35, 109, 124, 141, 260, 286, 305, 392, 396, 409, 410, 493, 496, 515, 531, 551, 621, 674, 702, 855, 926, 940, 981, 1014, 1047, 1259, 1518, 1873, 1885, 1887, 1896, 1910, 1965, 2064, 2163, 2217, 2287, 2298, 2303, 2334]"
235,"[0, 1]",19,"[2333, 2364, 2226]","[210, 267, 333, 388, 849, 878, 1125, 1136, 1367, 1374, 1641, 1837, 1860, 2149, 2689, 2735, 3425, 3615, 3639, 3661, 3873, 3886, 3945, 4162, 4173, 4356, 4406, 4440, 4565]"
256,"[0, 1]",5,"[2372, 2395, 2229]","[11, 112, 119, 127, 158, 178, 259, 575, 1207, 1276, 1633, 2059, 2335, 2953, 2956, 3203, 3267, 3483, 3489, 3579, 3665, 3764, 3829, 3849, 3879, 4045, 4046, 4217]"
257,"[0, 1]",6,"[2412, 2253]","[2444, 2459, 2542, 2546, 2740, 2779, 2784, 2810, 2854, 2874, 3000, 3057, 3058, 3063, 3185, 3192, 3260, 3331, 3337, 3413, 3416, 3526, 3565, 3569, 3692, 3760, 3828, 3834, 3845, 3861, 3893, 3899, 3961, 3986, 4005, 4037, 4041, 4239, 4351, 4405, 4458, 4537, 4542]"
258,"[0, 1]",28,"[2447, 2271]","[61, 1750, 2317, 2739, 2852, 2917, 2972, 3190, 3726]"
278,"[0, 1]",41,"[2455, 2317]","[289, 291, 526, 558, 665, 727, 872, 993, 1422, 1436, 1530, 1874, 1884, 1993, 2196, 2299, 2409, 2522, 2524, 2533, 2690, 2925, 3027, 3147, 3173, 3959, 4307, 4502]"
279,"[0, 1]",12,"[2532, 2328]","[64, 89, 123, 172, 287, 295, 346, 359, 371, 490, 509, 541, 660, 864, 888, 905, 914, 995, 1020, 1263, 1302, 1311, 1314, 1421, 1432, 1500, 1501, 1556, 1565, 1675, 1681, 1729, 1759, 1811, 1832, 1862, 1947, 1975, 2088, 2103, 2130]"
