,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
10,0,0,0,0,0,0,0,0,0,0,83,83,120,0,0,0,0,0,0,0,83,0,166,0,0,0,0,0,0,0,0,0,0,0,123,0,89,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,50,0,0,0,95,45,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,50,0,0,88,0,387,0,0
12,0,0,0,0,0,132,0,0,0,39,0,44,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,40,0,0,0,0,0,0,84,0,0,123,0,80,0,0
13,39,0,0,0,0,0,0,0,0,0,0,0,0,811,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,52,0,0,0,0,0,0,0,0,0,609,63,33,0,0,0,0,0,0,0,0,0,138,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,46
15,135,0,0,0,0,0,0,0,0,0,0,0,0,0,91,179,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,361
16,0,0,0,0,48,0,0,0,0,0,0,0,0,0,45,0,360,0,0,0,80,0,0,0,0,0,0,52,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,90
17,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,75,0,0,125,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,115,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,324,0,0,0,0,0,0,79,0,0
19,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,25,0,0,267,0,0,0,0,0,0,0,0,0,0,372,98,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
20,0,0,0,0,0,0,0,0,0,0,115,0,36,0,0,0,0,36,0,0,185,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,75,0,0,0,0,0,0,0,0,0,75,0,0,39,0,39,0
21,0,0,0,0,0,0,148,0,0,97,0,0,0,0,0,0,0,0,0,0,0,221,38,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,125,0,0,37,0,0,0,0,0,37,0
22,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,237,0,0,79,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,79,0,0
23,0,0,0,60,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,144,0,0,0,0,0,0,0,0,0,0,0,0,0
24,115,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,32,0,0,96,0,0,0,0,49,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0
