,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
23,0,0,0,60,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,216,0,0,0,0,0,0,0,0,0,0,0,0,0
24,162,0,0,0,0,0,0,0,0,0,0,0,0,411,0,81,0,47,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,49,0,0,0
25,0,0,0,0,0,46,0,0,0,0,39,92,0,0,0,0,0,0,0,0,0,0,125,0,0,299,0,0,0,0,0,0,0,0,40,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,84,0,0,0,0,0,0,0,0,0,128,43,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,162,0,0,0,0,0,0,0,371,0,0,72,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,6,12,650,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,120,0,0,0,0,0,0,0,0,120,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,41
30,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,400,41,0,83,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,40,74,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,222,148,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,229,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0
