cell_id,satellite_id,gateway_id
1343,1386,7
1344,484,17
1345,1525,0
1346,347,11
1347,1526,13
1348,347,11
1349,1364,38
1350,8,29
1351,348,22
1352,1409,39
1353,507,42
1354,347,11
1355,507,42
1356,416,10
1357,5,2
1358,1500,3
1359,372,48
1360,53,14
1361,1526,13
1362,52,35
1363,8,29
1364,280,33
1365,1525,0
1366,1501,46
1367,235,19
1368,417,16
1369,461,32
1370,144,1
1371,97,8
1372,486,48
1373,347,11
1374,235,19
1375,1502,37
1376,485,50
1377,348,22
1378,1410,44
1379,280,33
1380,392,18
1381,417,16
1382,531,26
1383,349,27
1384,392,18
1385,1364,38
1386,1410,44
1387,1525,0
1388,1571,15
1389,8,29
1390,1525,0
1391,1546,5
1392,1524,51
1393,1456,52
1394,144,1
1395,53,14
1396,1480,13
1397,530,37
1398,304,28
1399,507,42
1400,165,9
1401,142,3
1402,96,2
1403,507,42
1405,1409,39
1406,143,43
1407,1525,0
1408,1571,15
1409,417,16
1410,121,27
1411,1547,35
1412,1364,38
1413,233,23
1415,1410,44
1416,1410,44
1417,462,50
1418,30,53
1419,1434,36
1420,484,17
1421,279,12
1422,278,41
1423,1386,7
1424,1364,38
1425,30,53
1426,507,42
1427,1411,36
1428,28,2
1429,324,41
1430,1525,0
1431,1387,49
1432,279,12
1433,97,8
1434,1386,7
1435,211,40
1436,278,41
1437,1432,51
1438,1571,15
1439,1524,51
1440,5,2
1441,1410,44
1442,167,48
1443,75,4
1444,1457,24
1445,417,16
1446,1456,52
1447,98,19
1448,280,33
1449,1409,39
1450,416,10
1451,438,45
1452,142,3
1453,189,30
1454,1364,38
1455,303,31
1456,1387,49
1457,1524,51
1458,1457,24
1459,531,26
1460,98,19
1461,1500,3
1462,461,32
1463,440,1
1464,1387,49
1465,1387,49
1466,417,16
1467,75,4
1468,531,26
1469,303,31
1470,189,30
1471,1570,47
1472,1456,52
1473,347,11
1474,347,11
1475,507,42
1476,1410,44
1477,303,31
1478,439,47
1479,143,43
1480,302,3
1481,233,23
1482,530,37
1483,438,45
1484,280,33
1485,120,9
1486,96,2
1487,1456,52
1488,98,19
1489,303,31
1490,484,17
1491,1570,47
1492,74,9
1493,1500,3
1494,75,4
1495,1409,39
1497,96,2
1498,1503,13
1499,1502,37
1500,279,12
1501,279,12
1502,121,27
1503,507,42
1504,1387,49
1505,189,30
1506,302,3
1507,1409,39
1508,439,47
1509,1410,44
1510,485,50
1511,1524,51
1512,1456,52
1513,52,35
1514,1454,2
1515,52,35
1516,53,14
1517,144,1
1518,234,6
1519,280,33
1520,395,28
1521,211,40
1522,326,28
1523,98,19
1524,1410,44
1525,347,11
1526,1526,13
1527,392,18
1528,1525,0
1529,531,26
1530,278,41
1531,8,29
1532,463,48
1533,187,23
1534,439,47
1535,1456,52
1536,507,42
1537,233,23
1538,97,8
1539,347,11
1540,485,50
1541,29,21
1542,8,29
1543,301,18
1544,530,37
1545,211,40
1546,461,32
1547,348,22
1548,1457,24
1549,1457,24
1550,531,26
1551,1386,7
1552,347,11
1553,1501,46
1554,1411,36
1555,1502,37
1556,279,12
1557,213,28
1558,439,47
1559,1409,39
1560,1410,44
1561,371,25
1562,438,45
1563,303,31
1564,417,16
1565,279,12
1566,53,14
1567,211,40
1568,417,16
1569,416,10
1570,1501,46
1571,1409,39
1572,1386,7
1573,8,29
1574,1500,3
1575,507,42
1576,301,18
1577,1387,49
1578,52,35
1579,1364,38
1580,189,30
1581,29,21
1582,29,21
1583,1502,37
1584,1341,41
1585,416,10
1587,74,9
1588,1571,15
1589,576,13
1590,189,30
1591,1387,49
1592,347,11
1593,75,4
1594,1525,0
1595,281,28
1596,144,1
1597,1547,35
1598,302,3
1599,1547,35
1600,1501,46
1601,53,14
1602,530,37
1603,99,48
1604,530,37
1605,233,23
1606,1409,39
1607,416,10
1608,29,21
1609,349,27
1610,189,30
1611,53,14
1612,417,16
1613,301,18
1614,1388,36
1615,303,31
1616,301,18
1617,484,17
1618,484,17
1619,29,21
1621,1547,35
1622,576,13
1623,189,30
1624,213,28
1625,348,22
1626,438,45
1627,165,9
1628,1547,35
1629,165,9
1630,1409,39
1631,371,25
1632,1386,7
1633,256,5
1634,1456,52
1635,1570,47
1636,1341,41
1637,1501,46
1638,553,13
1639,97,8
1640,303,31
1641,235,19
1642,416,10
1643,438,45
1644,1570,47
1645,1500,3
1646,1571,15
1647,1571,15
1648,415,44
1649,1409,39
1650,30,53
1651,187,23
1652,301,18
1653,8,29
1654,438,45
1655,7,34
1656,439,47
1657,530,37
1658,7,34
1659,1571,15
1660,53,14
1661,8,29
1662,120,9
1663,1386,7
1664,508,29
1665,189,30
1666,1548,24
1667,7,34
1668,416,10
1669,461,32
1670,1432,51
1671,576,13
1672,1525,0
1673,530,37
1674,1386,7
1675,279,12
1676,1571,15
1677,1501,46
1678,187,23
1679,1364,38
1680,302,3
1681,279,12
1682,461,32
1683,1457,24
1684,29,21
1685,1502,37
1686,144,1
1687,1480,13
1688,99,48
1689,417,16
1690,74,9
1691,1457,24
1692,461,32
1693,417,16
1694,1456,52
1695,189,30
1696,484,17
1697,392,18
1698,347,11
1699,1432,51
1700,142,3
1701,417,16
1702,438,45
1703,52,35
1704,1388,36
1705,1478,40
1706,52,35
1707,74,9
1708,1456,52
1709,53,14
1710,484,17
1711,1480,13
1712,1364,38
1713,507,42
1714,1524,51
1715,30,53
1716,7,34
1717,417,16
1718,1546,5
1719,1501,46
1720,1456,52
1721,233,23
1722,576,13
1723,280,33
1724,142,3
1725,121,27
1726,1501,46
1727,280,33
1728,507,42
1729,279,12
1730,1525,0
1731,1500,3
1732,1548,24
1733,53,14
1734,531,26
1735,348,22
1736,438,45
1737,348,22
1738,416,10
1739,438,45
1740,347,11
1741,1524,51
1742,1456,52
1743,144,1
1744,530,37
1745,1432,51
1746,392,18
1747,1387,49
1749,30,53
1750,258,28
1751,417,16
1752,372,48
1753,1411,36
1754,7,34
1755,1525,0
1756,392,18
1757,326,28
1758,98,19
1759,279,12
1760,484,17
1761,211,40
1762,1548,24
1763,1571,15
1764,122,28
1765,187,23
1766,7,34
1767,1547,35
1768,370,38
1769,30,53
1770,1477,40
1772,372,48
1773,1571,15
1774,461,32
1775,187,23
1776,348,22
1777,97,8
1778,144,1
1779,553,13
1780,75,4
1781,1387,49
1782,52,35
1783,1386,7
1784,1502,37
1785,509,28
1786,1387,49
1787,97,8
1788,1456,52
1789,1364,38
1790,187,23
1791,1501,46
1792,187,23
1793,415,44
1794,30,53
1795,347,11
1796,98,19
1797,349,27
1798,280,33
1799,485,50
1800,371,25
1801,233,23
1802,143,43
1803,30,53
1804,1525,0
1805,507,42
1806,189,30
1807,462,50
1808,281,28
1809,348,22
1810,530,37
1811,279,12
1812,1548,24
1813,417,16
1814,302,3
1815,1454,2
1816,1571,15
1817,120,9
1818,415,44
1819,233,23
1820,97,8
1821,121,27
1822,395,28
1823,1501,46
1824,371,25
1825,1570,47
1826,416,10
1827,1457,24
1828,7,34
1829,348,22
1830,461,32
1831,1364,38
1832,279,12
1833,415,44
1834,439,47
1835,348,22
1836,531,26
1837,235,19
1838,1386,7
1839,53,14
1840,1500,3
1841,1524,51
1842,1524,51
1843,1386,7
1844,484,17
1845,415,44
1846,348,22
1847,1568,2
1848,302,3
1849,416,10
1850,484,17
1851,371,25
1852,1546,5
1853,438,45
1854,349,27
1855,416,10
1856,119,40
1857,484,17
1858,392,18
1859,233,23
1860,235,19
1861,371,25
1862,279,12
1863,1571,15
1864,76,14
1865,7,34
1866,415,44
1867,1480,13
1868,52,35
1869,303,31
1870,1411,36
1871,303,31
1872,349,27
1873,234,6
1874,278,41
1875,1434,36
1876,1386,7
1877,415,44
1878,439,47
1879,1409,39
1880,1548,24
1881,1456,52
1882,348,22
1883,1388,36
1884,278,41
1885,234,6
1886,29,21
1887,234,6
1888,507,42
1889,438,45
1890,438,45
1891,143,43
1892,142,3
1893,188,5
1894,1457,24
1895,484,17
1896,234,6
1897,1525,0
1898,7,34
1899,8,29
1900,1502,37
1901,303,31
1902,29,21
1903,98,19
1904,281,28
1905,1456,52
1906,29,21
1907,303,31
1908,1503,13
1909,144,1
1910,234,6
1911,531,26
1912,7,34
1913,120,9
1914,1570,47
1915,417,16
1916,1571,15
1917,1341,41
1918,1364,38
1919,30,53
1920,371,25
1921,1386,7
1922,1456,52
1923,415,44
1924,1525,0
1925,52,35
1926,29,21
1927,1524,51
1928,1457,24
1929,7,34
1930,371,25
1931,1386,7
1932,1526,13
1933,1546,5
1934,29,21
1935,530,37
1936,1409,39
1937,371,25
1938,507,42
1939,96,2
1940,98,19
1941,438,45
1942,1341,41
1943,1386,7
1944,417,16
1945,531,26
1946,97,8
1947,279,12
1948,1409,39
1949,417,16
1950,187,23
1951,166,43
1952,1364,38
1953,187,23
1954,1502,37
1955,166,43
1956,1525,0
1957,1341,41
1958,461,32
1959,417,16
1960,1477,40
1961,280,33
1962,347,11
1963,507,42
1964,29,21
1965,234,6
1966,417,16
1967,438,45
1968,462,50
1969,417,16
1970,1364,38
1971,8,29
1972,1546,5
1973,303,31
1974,1456,52
1975,279,12
1976,1388,36
1977,280,33
1978,348,22
1979,30,53
1980,1524,51
1981,348,22
1982,1364,38
1983,347,11
1984,371,25
1985,1388,36
1986,144,1
1987,28,2
1988,7,34
1989,438,45
1990,415,44
1991,324,41
1992,76,14
1993,278,41
1994,485,50
1995,76,14
1996,119,40
1997,1456,52
1998,1364,38
1999,507,42
2000,1478,40
2001,1364,38
2002,166,43
2003,1523,39
2004,1364,38
2005,1341,41
2006,280,33
2007,8,29
2008,1387,49
2009,144,1
2010,97,8
2011,531,26
2012,463,48
2013,29,21
2014,371,25
2015,142,3
2016,484,17
2017,1387,49
2018,1434,36
2019,348,22
2020,76,14
2021,8,29
2022,1386,7
2023,507,42
2024,30,53
2025,416,10
2026,417,16
2027,75,4
2028,1525,0
2029,1457,24
2030,1341,41
2031,144,1
2032,324,41
2033,1570,47
2034,28,2
2035,8,29
2036,301,18
2037,371,25
2038,1571,15
2039,1386,7
2040,142,3
2041,1434,36
2042,1523,39
2043,461,32
2044,280,33
2045,189,30
2046,1524,51
2047,1570,47
2048,324,41
2049,485,50
2050,347,11
2051,417,16
2052,1500,3
2053,438,45
2054,415,44
2055,531,26
2056,438,45
2057,1480,13
2058,280,33
2059,256,5
2060,190,28
2061,438,45
2062,1570,47
2063,1525,0
2064,234,6
2065,1387,49
2066,530,37
2067,1386,7
2068,1524,51
2069,189,30
