unique_satellite_id,predicted_gateway,actual_gateway_id,assigned_cells,actual_cell_ids
142,3,3,"[1486, 1639, 1848, 1939, 2034]","[41, 361, 394, 715, 942, 1069, 1401, 1452, 1700, 1724, 1892, 2015, 2040, 2109, 2140, 2204, 2304, 2535, 2646, 2697, 3211, 3388, 3837, 3843, 3991, 4122, 4166, 4524]"
143,43,43,"[2457, 2467, 2480, 2482, 2507, 2546, 2572, 2574, 2655, 2732, 2764, 2779, 2782, 2805, 2818, 2831, 2839, 2850, 2864, 2978, 2991, 3040, 3108, 3137, 3206, 3242, 3258, 3309, 3328, 3362, 3367, 3368, 3417, 3436, 3502, 3526, 3532, 3537, 3561, 3607, 3739, 3752, 3768, 3791, 3851, 3893, 3899, 3989, 4036, 4107, 4170, 4221, 4384, 4404, 4427]","[15, 43, 70, 88, 104, 177, 188, 196, 200, 213, 258, 280, 299, 391, 510, 560, 603, 604, 639, 673, 825, 885, 887, 943, 970, 1022, 1102, 1159, 1197, 1226, 1301, 1406, 1479, 1802, 1891, 2167, 2572, 2573, 3242, 3319, 3367, 4384]"
144,1,1,"[80, 851, 1027, 1517, 1520]","[65, 157, 201, 223, 290, 297, 315, 373, 386, 401, 479, 486, 517, 580, 678, 736, 791, 863, 913, 1023, 1052, 1105, 1304, 1319, 1326, 1370, 1394, 1517, 1596, 1686, 1743, 1778, 1909, 1986, 2009, 2031, 2096, 2324, 2391, 2398, 2402, 2433, 2475]"
165,3,9,"[144, 347, 483, 611, 848, 1081]","[279, 293, 504, 597, 742, 1029, 1079, 1225, 1400, 1627, 1629, 2187, 2640, 2699, 2790, 2808, 2887, 3046, 3086, 3092, 3517, 3710, 3786, 3967, 4024, 4109, 4150, 4218, 4377]"
166,43,43,"[15, 43, 70, 88, 177, 188, 196, 231, 280, 391, 396, 446, 510, 515, 560, 603, 639, 673, 702, 706, 815, 816, 825, 885, 940, 943, 970, 981, 991, 1022, 1091, 1102, 1197, 1226, 1239, 1301, 1406, 1479, 1802, 1823, 1891, 1951, 2002, 2080, 2167, 2192, 2276, 2393]","[1951, 1955, 2002, 2080, 2276, 2393, 2480, 2482, 2507, 2574, 2732, 2764, 2805, 2831, 2839, 2850, 2864, 2978, 2991, 3040, 3206, 3246, 3258, 3309, 3328, 3362, 3368, 3417, 3436, 3502, 3532, 3537, 3561, 3752, 3768, 3851, 3989, 4072, 4107, 4170, 4221, 4427]"
167,48,48,"[2376, 2411, 2423, 2528, 2556, 2587, 2589, 2644, 2705, 2710, 2741, 2793, 2812, 2945]","[183, 642, 709, 1442, 2538, 2591, 2626, 3118, 3238, 3275, 3285, 3512, 3884, 4157, 4182, 4434, 4562]"
187,40,23,"[32, 91, 245, 362, 587, 884, 893, 919, 1008, 1120, 1154, 1158, 1203, 1208, 1232, 1275, 1283, 1292, 1299, 1338, 1402]","[22, 115, 146, 159, 469, 559, 793, 859, 1039, 1210, 1297, 1303, 1533, 1651, 1678, 1765, 1775, 1790, 1792, 1950, 1953, 2106, 2171, 2647, 2904, 2988, 3022, 3180, 3274, 3311, 3662, 3761, 3827, 4076, 4330, 4472]"
188,5,5,"[2485, 2488, 2491, 2541, 2565, 2583, 2605, 2616, 2622, 2640, 2652, 2659, 2684, 2699, 2714, 2715, 2726, 2733, 2751, 2755, 2790, 2803, 2808, 2822, 2848, 2887, 2908, 2910, 2913, 2935, 2950, 2953, 2990, 3005, 3046, 3066, 3079, 3086, 3088, 3089, 3092, 3093, 3172, 3179, 3182, 3211, 3220, 3235, 3256, 3262, 3267, 3283, 3329, 3345, 3352, 3360, 3366, 3379, 3388, 3411, 3427, 3438, 3456, 3457, 3470, 3489, 3492, 3517, 3539, 3570, 3579, 3595, 3621, 3633, 3650, 3665, 3682, 3710, 3731, 3753, 3759, 3786, 3837, 3849, 3868, 3876, 3905, 3930, 3967, 3971, 4024, 4044, 4046, 4066, 4077, 4084, 4093, 4113, 4122, 4141, 4150, 4197, 4210, 4218, 4251, 4257, 4289, 4297, 4309, 4325, 4342, 4367, 4374, 4375, 4409, 4416, 4438, 4442, 4457, 4504, 4511, 4527, 4534, 4545, 4564]","[2, 23, 99, 138, 387, 605, 961, 1090, 1143, 1893, 2155, 2440, 2513, 2616, 2726, 2919, 2933, 2990, 3103, 3321, 3345, 3592, 3682, 4023, 4199, 4457, 4478, 4534]"
189,30,30,"[3, 103, 166, 175, 191, 210, 266, 267, 275, 297, 317, 333, 364, 373, 388, 390, 401, 494, 520, 578, 625, 714, 751, 806, 841, 843, 849, 878, 967, 985, 1035, 1042, 1105, 1112, 1116, 1125, 1136, 1172, 1218, 1251, 1305, 1319, 1367, 1374, 1383, 1447, 1460, 1470, 1505, 1523, 1580, 1590, 1610, 1623, 1641, 1686, 1758, 1797, 1806, 1837, 1854, 1860]","[3, 10, 103, 166, 175, 225, 237, 238, 266, 390, 404, 457, 494, 520, 563, 581, 606, 625, 685, 751, 814, 823, 1172, 1307, 1453, 1470, 1505, 1580, 1590, 1610, 1623, 1665, 1695, 1806, 2045, 2069, 2092, 2170, 2250, 2252, 2314, 2348, 2366, 2418, 2441, 2473, 2498, 2537, 2590, 2592, 2602, 2625, 2627, 2629, 2678, 2760, 2774, 2796, 2856, 2870, 2902, 2962, 2966, 3261, 3294, 3501, 3542, 3609, 3702, 3814, 3821, 3825, 3864, 3877, 3922, 3994, 3998, 4059, 4137, 4155, 4236, 4304, 4521, 4551, 4552, 4568]"
190,28,28,[],"[349, 384, 675, 2060, 3087, 3354, 3806, 4092, 4119]"
