sat_id,latitude,longitude,altitude,predicted_gateway,predicted_cells
1570,34.420854996873594,-78.64960972556692,545.3028457543752,0,"[19, 64, 79, 162, 203, 230, 352, 560, 594, 599, 655, 665, 680, 681, 789, 818, 926, 965, 1003, 1040, 1059, 1067, 1117, 1144, 1149, 1153, 1167, 1257, 1264, 1429, 1436, 1441, 1652, 1668, 1681, 1786, 1820, 1931, 1989, 2237, 2248, 2249, 2280, 2299, 2451, 2456, 2466, 2474, 2527, 2691, 2788, 2815, 2855, 2867, 2869, 2873, 2915, 3055, 3083, 3094, 3120, 3365, 3378, 3703, 3720, 3840, 3858, 3870, 3882, 3896, 3897, 4029, 4080, 4116, 4179, 4213, 4507, 4532]"
302,50.26978334351136,-93.36471036496012,548.7226231708469,43,"[79, 126, 162, 194, 681, 1003, 1040, 1257, 1845, 1858, 1935, 2248, 2299, 2388, 2451, 2650, 2869, 3083, 3094, 3365, 3475, 3545, 3896, 3897, 4179, 4306, 4361]"
74,51.05194142005695,-95.74903291627682,548.9015137018998,43,"[79, 126, 162, 681, 1040, 1257, 1414, 1529, 1845, 1858, 1935, 2248, 2299, 2388, 2451, 2650, 2869, 2959, 3083, 3094, 3365, 3475, 3545, 3798, 3896, 3897, 4179, 4306, 4361]"
119,53.10961161713266,-110.89916456810394,549.3705422945326,2,"[50, 79, 162, 209, 583, 653, 681, 1103, 1257, 1529, 1566, 1626, 1666, 1845, 1935, 1945, 2248, 2309, 2451, 2571, 2623, 2650, 2959, 3094, 3134, 3191, 3365, 3504, 3545, 3552, 3558, 3625, 3678, 3696, 3736, 3798, 3897, 3935, 4058, 4118, 4179, 4306, 4311, 4391]"
416,43.37204175885676,-87.67697096486114,547.1574880748168,34,"[64, 79, 162, 194, 203, 230, 352, 681, 818, 1003, 1040, 1149, 1257, 1436, 1652, 1786, 2237, 2248, 2249, 2388, 2451, 2456, 3083, 3094, 3365, 3896, 3897, 4029, 4080, 4179, 4213, 4532]"
255,42.45940330603128,-124.45544243355194,546.9557714199004,2,"[50, 79, 162, 209, 238, 365, 583, 653, 681, 1103, 1257, 1322, 1409, 1529, 1666, 1945, 2309, 2451, 2571, 2623, 2650, 2729, 3009, 3078, 3094, 3191, 3292, 3346, 3558, 3625, 3696, 3736, 4058, 4118, 4179, 4391, 4433]"
1522,51.34124780061112,-127.27325184200048,548.9685614922267,2,"[50, 79, 162, 354, 365, 583, 653, 681, 835, 856, 1103, 1257, 1322, 1407, 1409, 1516, 1529, 1566, 1583, 1611, 1626, 1654, 1659, 1666, 1935, 1945, 2248, 2309, 2451, 2571, 2623, 2650, 2687, 2826, 2923, 2959, 3094, 3131, 3134, 3191, 3346, 3365, 3400, 3453, 3504, 3545, 3558, 3625, 3678, 3696, 3736, 3798, 3935, 4058, 4118, 4311, 4391, 4433]"
324,42.85391999978275,-108.69964776310842,547.0427221931453,12,"[79, 162, 583, 653, 681, 1257, 1529, 1945, 2451, 2650, 3094, 3365, 3625, 3736, 4058, 4118, 4179]"
188,53.13414443108629,-94.7664268161508,549.3761416158799,43,"[79, 126, 162, 681, 1040, 1257, 1407, 1414, 1529, 1845, 1858, 1935, 2248, 2299, 2388, 2451, 2571, 2650, 2959, 3094, 3191, 3365, 3439, 3475, 3545, 3552, 3798, 3897, 4179, 4306, 4311, 4361]"
574,16.558734107862886,-79.87460611085791,543.0717506817564,13,"[3, 19, 36, 45, 58, 64, 68, 112, 118, 133, 144, 156, 162, 169, 189, 194, 202, 203, 230, 233, 238, 247, 248, 271, 274, 276, 352, 359, 364, 387, 388, 408, 430, 437, 450, 452, 499, 506, 527, 560, 562, 563, 567, 590, 594, 599, 625, 645, 654, 655, 677, 680, 681, 696, 705, 719, 726, 727, 741, 745, 760, 762, 766, 789, 800, 808, 810, 838, 853, 860, 864, 905, 923, 925, 926, 940, 963, 965, 972, 989, 994, 1002, 1003, 1012, 1013, 1040, 1064, 1082, 1091, 1092, 1095, 1101, 1102, 1110, 1116, 1117, 1130, 1135, 1136, 1140, 1144, 1148, 1149, 1153, 1167, 1175, 1188, 1196, 1223, 1226, 1235, 1247, 1257, 1264, 1279, 1343, 1349, 1354, 1366, 1378, 1393, 1429, 1431, 1436, 1441, 1465, 1474, 1487, 1503, 1504, 1530, 1537, 1551, 1552, 1585, 1600, 1607, 1623, 1643, 1652, 1668, 1681, 1686, 1717, 1786, 1788, 1789, 1799, 1807, 1818, 1824, 1834, 1840, 1871, 1921, 1931, 1934, 1942, 1958, 1989, 1997, 2017, 2022, 2024, 2027, 2033, 2046, 2047, 2061, 2068, 2084, 2085, 2088, 2092, 2093, 2103, 2138, 2149, 2188, 2193, 2203, 2224, 2237, 2248, 2252, 2266, 2280, 2290, 2296, 2299, 2301, 2313, 2315, 2352, 2362, 2366, 2385, 2392, 2403, 2437, 2444, 2445, 2451, 2456, 2466, 2474, 2491, 2502, 2509, 2527, 2529, 2531, 2553, 2560, 2595, 2606, 2609, 2621, 2671, 2687, 2691, 2696, 2704, 2718, 2729, 2756, 2783, 2788, 2818, 2824, 2844, 2855, 2867, 2869, 2873, 2887, 2894, 2910, 2915, 2918, 2944, 2946, 2978, 2980, 2986, 3003, 3026, 3036, 3048, 3055, 3065, 3083, 3094, 3117, 3119, 3120, 3121, 3122, 3123, 3128, 3144, 3201, 3226, 3265, 3299, 3378, 3380, 3402, 3410, 3434, 3471, 3477, 3484, 3504, 3520, 3546, 3549, 3559, 3622, 3644, 3646, 3657, 3674, 3676, 3701, 3702, 3703, 3717, 3720, 3739, 3775, 3788, 3803, 3804, 3831, 3840, 3852, 3858, 3870, 3882, 3896, 3897, 3902, 3923, 3956, 3981, 4007, 4010, 4021, 4029, 4045, 4053, 4089, 4113, 4115, 4116, 4175, 4179, 4203, 4208, 4252, 4255, 4312, 4334, 4345, 4351, 4354, 4415, 4436, 4440, 4444, 4474, 4483, 4494, 4500, 4507, 4529, 4559]"
